Run,Best_Fitness,Best_CAPPV,Best_EBESS,Best_TC
1,597947556.3406,16777.7531,9146.2266,28651585.2406
2,597596623.4883,16820.4158,9120.3157,28705159.4883
3,598102229.2946,16784.7678,9147.4925,28662513.0746
4,597455532.2336,16756.1696,9119.0222,28608299.8736
5,603258518.5096,17998.7411,8656.0631,30308789.7096
MEAN,598872091.9733,17027.5695,9037.824,28987269.4773
STD,2465849.4373,,,
MIN,597455532.2336,,,
MAX,603258518.5096,,,
