param_name,param_value,mean_fitness,std_fitness,min_fitness,max_fitness,mean_cappv,mean_ebess,mean_total_cost
W,0.4,599354686.130492,2854906.520258,596799694.995294,603668928.351977,17181.63326,8978.979121,29197785.218492
W,0.7,599562917.570268,1388821.471682,597849528.530272,601443534.559005,17115.839947,9009.390238,29109672.518268
W,0.9,599839887.709616,1270128.229017,597710074.393154,601124210.803972,16997.639497,9082.941541,28959353.457616
C1,1.0,599423637.490266,772078.661962,598563038.462302,600244598.800174,16979.615626,9078.961277,28930641.292266
C1,1.5,600582046.637918,2047553.101096,598587538.378876,603774881.611157,17204.678,8995.746631,29238682.829918
C1,2.0,599173236.01127,1785750.146076,596925256.301055,601546468.788935,16884.789007,9128.103466,28805626.76927
C2,1.0,598939582.45645,1161301.831974,597496365.812183,600251905.555149,16881.461165,9127.350112,28800500.520449
C2,1.5,599783354.757966,1328872.246748,598237274.734885,601782861.680367,16874.787084,9162.593709,28803743.989966
C2,2.0,598515393.349159,1349476.361478,597080938.153701,600503217.197416,16964.446241,9066.770148,28902927.805159
