param_name,param_value,mean_fitness,std_fitness,min_fitness,max_fitness,mean_cappv,mean_ebess,mean_total_cost
mutation_rate,0.1,608134650.468802,14605270.894685,597237861.856939,633788329.782577,16950.0,9323.8,28977552.722802
mutation_rate,0.2,604396673.748668,6347802.595407,600724027.833456,615523245.787832,17790.8,8775.2,30039571.104668
mutation_rate,0.3,601357700.669237,2431327.213173,598294571.569801,604576479.887146,17272.8,8989.8,29339028.753237
crossover_rate,0.7,604966017.64542,9058901.615782,598160893.454269,620579713.877551,17596.0,8913.6,29797749.72342
crossover_rate,0.8,602747371.015103,1814692.018095,600257146.591614,604647640.183001,17245.0,9074.2,29328747.353103
crossover_rate,0.9,600431138.811957,2599979.666681,597750971.930585,604016158.187723,17178.8,9011.2,29205328.939957
