Iteration,Fitness,CAPPV,CPV,EBESS,CBESS,Total_Cost
67,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
68,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
69,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
70,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
71,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
72,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
73,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
74,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
75,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
76,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
77,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
78,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
79,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
80,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
81,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
82,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
83,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
84,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
85,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
86,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
87,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
88,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
89,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
90,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
91,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
92,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
93,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
94,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
95,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
96,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
97,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
98,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
99,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
100,4337042.4973,1050.7265,1309807.0684,7523.2024,3027235.4289,4337042.4973
