Run,Best_Fitness,Best_CAPPV,Best_EBESS,Best_TC
1,601930604.2217,17014.0,9181.0,29020504.7117
2,600356774.7507,16864.0,9186.0,28796230.3707
3,601525898.1434,16962.0,9193.0,28946604.0334
4,598326414.6477,16859.0,9135.0,28769578.5477
5,600866354.3493,17522.0,8811.0,29647726.4793
MEAN,600601209.2226,17044.2,9101.2,29036128.8286
STD,1407753.6336,,,
MIN,598326414.6477,,,
MAX,601930604.2217,,,
