Iteration,Fitness,CAPPV,CPV,EBESS,CBESS,Total_Cost
76,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
77,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
78,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
79,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
80,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
81,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
82,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
83,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
84,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
85,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
86,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
87,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
88,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
89,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
90,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
91,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
92,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
93,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
94,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
95,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
96,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
97,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
98,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
99,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
100,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
